Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Cumulative_Return
2015-01-02,170.589599609375,205.42999267578125,206.8800048828125,204.17999267578125,206.3800048828125,121465900,,,
2015-01-05,167.5088348388672,201.72000122070312,204.3699951171875,201.3500061035156,204.1699981689453,169632600,-0.018059511116517712,-0.018224574415690992,-0.018059511116517712
2015-01-06,165.93106079101562,199.82000732421875,202.72000122070312,198.8600006103516,202.08999633789065,209151400,-0.009419049743670471,-0.009463689523377242,-0.027308457426635346
2015-01-07,167.99879455566406,202.30999755859372,202.72000122070312,200.8800048828125,201.4199981689453,125346700,0.01246140267404594,0.012384398456183294,-0.015187356436989763
2015-01-08,170.9799041748047,205.8999938964844,206.16000366210935,203.9900054931641,204.00999450683597,147217800,0.017744827437752075,0.017589226037509887,0.002287973981552227
2015-01-09,169.60972595214844,204.25,206.4199981689453,203.50999450683597,206.3999938964844,158567300,-0.008013679907408422,-0.008045962021592705,-0.005744041016980783
2015-01-12,168.2810821533203,202.6499938964844,204.6000061035156,201.9199981689453,204.41000366210935,144396100,-0.007833535437719918,-0.007864378756859568,-0.013532580305838482
2015-01-13,167.80775451660156,202.0800018310547,205.47999572753903,200.50999450683597,204.1199951171875,214553300,-0.002812720423841286,-0.002816683555130681,-0.016307237364666216
2015-01-14,166.79473876953125,200.8600006103516,201.1000061035156,198.57000732421875,199.6499938964844,192991100,-0.006036763616726004,-0.006055058539450029,-0.022245558044179936
2015-01-15,165.26675415039062,199.0200042724609,202.00999450683597,198.8800048828125,201.6300048828125,176613900,-0.009160868204913353,-0.0092030869963745,-0.031202637623705787
2015-01-16,167.4341278076172,201.6300048828125,201.82000732421875,198.5500030517578,198.7700042724609,211879600,0.013114395985863503,0.013029146813534695,-0.018497445383443
2015-01-20,167.79115295410156,202.05999755859372,202.72000122070312,200.1699981689453,202.3999938964844,130991100,0.0021323319872672553,0.0021300617940462375,-0.016404556090649614
2015-01-21,168.63818359375,203.0800018310547,203.66000366210935,200.94000244140625,201.5,122942700,0.005048124556842115,0.005035425495768962,-0.011439243776252828
2015-01-22,171.14602661132812,206.1000061035156,206.25999450683597,202.3300018310547,203.9900054931641,174356000,0.014871145811315989,0.014761654495334862,0.003261787372895286
2015-01-23,170.20762634277344,204.97000122070312,206.1000061035156,204.80999755859372,205.7899932861328,117516800,-0.005483038590698874,-0.005498125620576179,-0.0022391357238438214
2015-01-26,170.60621643066406,205.4499969482422,205.55999755859372,203.8500061035156,204.7100067138672,92009700,0.002341787477183388,0.00233904976614781,9.74081733418064e-05
2015-01-27,168.35589599609375,202.7400054931641,204.1199951171875,201.7400054931641,202.97000122070312,134044600,-0.013190143252985509,-0.013277905780332982,-0.013094019907404109
2015-01-28,166.19676208496094,200.13999938964844,204.2899932861328,199.91000366210935,204.1699981689453,168514300,-0.01282481910335298,-0.012907767054013678,-0.025750910574108943
2015-01-29,167.7330322265625,201.9900054931641,202.3000030517578,198.67999267578125,200.3800048828125,173585400,0.009243682742845483,0.009201221373231117,-0.016745261078949913
2015-01-30,165.62379455566406,199.4499969482422,202.1699981689453,199.1300048828125,200.57000732421875,197729700,-0.012574968942607678,-0.012654703005335744,-0.02910965888355399
2015-02-02,167.6748504638672,201.9199981689453,202.02999877929688,197.8600006103516,200.0500030517578,163107000,0.01238382391676085,0.01230777160460544,-0.01708632385668407
2015-02-03,170.09967041015625,204.83999633789065,204.8500061035156,202.5500030517578,203.0,124212900,0.014461440935124692,0.014357871611805942,-0.0028719757848112426
2015-02-04,169.45196533203125,204.05999755859372,205.3800048828125,203.50999450683597,203.9199981689453,134306700,-0.003807797372935573,-0.0038150654895623554,-0.006668837255898286
2015-02-05,171.16253662109375,206.1199951171875,206.3000030517578,204.7700042724609,204.8600006103516,97953200,0.010094726760534911,0.01004411532708357,0.0033585694147277856
2015-02-06,170.68927001953125,205.5500030517578,207.2400054931641,204.9199981689453,206.55999755859372,125672000,-0.002765012782032894,-0.0027688424909670948,0.0005842701453337984
2015-02-09,169.92532348632812,204.6300048828125,205.63999938964844,204.13999938964844,204.7700042724609,87219000,-0.004475656455240062,-0.004485702190973656,-0.0038940013023538445
2015-02-10,171.73561096191406,206.80999755859372,207.1199951171875,204.67999267578125,205.8800048828125,96164200,0.010653429626877209,0.010597081691360664,0.006717943855681696
2015-02-11,171.83523559570312,206.92999267578125,207.4499969482422,205.8300018310547,206.6100006103516,91087800,0.0005801046925040243,0.0005799364968211515,0.00730194565894049
2015-02-12,173.48773193359375,208.9199981689453,208.9900054931641,206.97000122070312,207.88999938964844,97545900,0.00961674904545573,0.009570802450736528,0.01698891568334182
2015-02-13,174.20187377929688,209.77999877929688,209.83999633789065,208.75999450683597,209.07000732421875,93670400,0.004116382396286644,0.004107933272882668,0.02117523095307927
2015-02-17,174.47586059570312,210.1100006103516,210.32000732421875,209.1000061035156,209.3999938964844,76968200,0.0015728121085158975,0.0015715765349319504,0.022781347721238854
2015-02-18,174.4925079345703,210.1300048828125,210.22000122070312,209.33999633789065,209.66000366210935,80652900,9.541342172125766e-05,9.540887015025372e-05,0.0228789347892977
2015-02-19,174.367919921875,209.97999572753903,210.4199981689453,209.2400054931641,209.41000366210935,91462500,-0.0007140020747596898,-0.0007142570956385869,0.022148597107630064
2015-02-20,175.4141845703125,211.2400054931641,211.3300018310547,208.72999572753903,209.47999572753903,140896400,0.006000327634270608,0.005982397357683901,0.028281823581185916
2015-02-23,175.38934326171875,211.2100067138672,211.2100067138672,210.47999572753903,210.94000244140625,74411100,-0.00014161516444410882,-0.00014162519281830016,0.028136203281644567
2015-02-24,175.88758850097656,211.80999755859372,212.0500030517578,210.75999450683597,211.1199951171875,72472300,0.002840795398351581,0.0028367679647109735,0.031056927876805807
2015-02-25,175.7380828857422,211.6300048828125,212.2400054931641,211.22000122070312,211.66000366210935,73061700,-0.0008500066235972437,-0.0008503680840710366,0.030180522658804776
2015-02-26,175.53053283691406,211.3800048828125,211.7100067138672,210.6499938964844,211.5200042724609,72697900,-0.0011810191929945146,-0.0011817171457461403,0.0289638596892956
2015-02-27,174.93267822265625,210.66000366210935,211.5800018310547,210.6000061035156,211.25999450683597,108076000,-0.0034059864377742333,-0.003411800013976105,0.025459222738233978
2015-03-02,176.03704833984375,211.9900054931641,212.05999755859372,210.72000122070312,210.77999877929688,87491400,0.006313115013204307,0.006293270778120058,0.03193306475273161
2015-03-03,175.31463623046875,211.1199951171875,212.0500030517578,210.0800018310547,211.47000122070312,110325800,-0.004103750410427098,-0.004112193902047826,0.02769826901471939
2015-03-04,174.5755157470703,210.22999572753903,210.4900054931641,209.05999755859372,210.3999938964844,114497200,-0.0042159656449151095,-0.0042248778860299345,0.023365528419214687
2015-03-05,174.76651000976562,210.4600067138672,210.8000030517578,209.8500061035156,210.6199951171875,76873000,0.001094049539982711,0.0010934515039323757,0.024485141004815913
2015-03-06,172.30859375,207.5,209.94000244140625,207.1000061035156,209.4199981689453,188128000,-0.014064000360413886,-0.014163835573828486,0.010076781612485597
2015-03-09,173.02267456054688,208.3600006103516,208.7899932861328,207.5500030517578,207.7400054931641,89818900,0.004144197309061237,0.004135633774558055,0.01426273909278919
2015-03-10,170.21595764160156,204.97999572753903,206.80999755859372,204.92999267578125,206.7100067138672,157121300,-0.016221671096426915,-0.016354682812720473,-0.0021902974661350827
2015-03-11,169.81729125976562,204.5,205.5,204.3999938964844,205.2899932861328,110145700,-0.002342121075835646,-0.0023448681315321623,-0.0045272886001129775
2015-03-12,171.9763946533203,207.1000061035156,207.17999267578125,205.1999969482422,205.25999450683597,93993500,0.012714272954995831,0.012634125218465783,0.008129423171874928
2015-03-13,170.92178344726562,205.8300018310547,207.92999267578125,204.5800018310547,206.7700042724609,162410900,-0.006132302099835507,-0.0061511818883076665,0.0019472689932520382
2015-03-16,173.2053985595703,208.5800018310547,208.69000244140625,205.8600006103516,206.7100067138672,136099200,0.013360585562865124,0.01327212003595725,0.015333871210115424
2015-03-17,172.6905517578125,207.9600067138672,208.4199981689453,206.97999572753903,207.69000244140625,94510400,-0.002972463941883108,-0.002976890486832452,0.012315827888970787
2015-03-18,174.76651000976562,210.4600067138672,211.2700042724609,206.6199951171875,207.38999938964844,228808500,0.012021261330292798,0.011949579864240154,0.024485141004815913
2015-03-19,173.96937561035156,209.5,210.47000122070312,209.02999877929688,209.9600067138672,117917300,-0.004561139313072782,-0.004571573047555594,0.019812321552519885
2015-03-20,175.5049591064453,210.41000366210935,211.0200042724609,209.4900054931641,209.7100067138672,177715100,0.008826746033353983,0.008788018038522378,0.028813945916549066
2015-03-23,175.16297912597656,210.0,211.1100006103516,210.0,210.4199981689453,71784500,-0.0019485488171382404,-0.0019504497081052389,0.02680925171917803
2015-03-24,174.17874145507812,208.82000732421875,210.3999938964844,208.7400054931641,209.8500061035156,77805300,-0.0056189822518979415,-0.005634828118980209,0.021039628757683282
2015-03-25,171.62631225585938,205.75999450683597,209.3500061035156,205.7100067138672,209.07000732421875,159521700,-0.01465407992901957,-0.014762511572760864,0.006077232427171619
2015-03-26,171.21766662597656,205.2700042724609,206.3699951171875,204.1199951171875,204.9600067138672,153067200,-0.00238101969629001,-0.0023838588312732945,0.0036817427207735953
2015-03-27,171.6096954345703,205.7400054931641,205.9499969482422,204.8999938964844,205.1300048828125,118939000,0.002289651624853173,0.002287034366882872,0.005979824253829591
2015-03-30,173.70323181152344,208.25,208.6100006103516,206.9600067138672,206.97999572753903,96180400,0.01219940616788362,0.01212559312298325,0.01825218072659829
2015-03-31,172.1851806640625,206.42999267578125,208.1000061035156,206.3600006103516,207.25999450683597,126768700,-0.008739337383820822,-0.008777749353299127,0.009353331377417229
2015-04-01,171.57630920410156,205.6999969482422,206.4199981689453,204.50999450683597,206.38999938964844,137303600,-0.003536143224479149,-0.003542410157140576,0.005784113433561444
2015-04-02,172.19354248046875,206.44000244140625,206.97999572753903,205.3999938964844,205.6199951171875,86900900,0.0035974271694638738,0.003590971905273666,0.009402348529842453
2015-04-06,173.35301208496094,207.8300018310547,208.4499969482422,205.2100067138672,205.3699951171875,114368200,0.006733525472499613,0.006710956545505941,0.016199184955669077
2015-04-07,172.8942413330078,207.27999877929688,208.75999450683597,207.2400054931641,207.8600006103516,81236300,-0.0026464538829488182,-0.002649961932654178,0.013509860676793828
2015-04-08,173.47813415527344,207.97999572753903,208.50999450683597,207.0800018310547,207.5500030517578,89351900,0.003377167554938998,0.003371477731318343,0.01693265329488214
2015-04-09,174.24546813964844,208.8999938964844,209.17999267578125,207.19000244140625,207.77999877929688,85548900,0.004423231712235243,0.004413477974297001,0.021430782056143682
2015-04-10,175.19635009765625,210.0399932861328,210.08999633789065,208.9600067138672,209.1999969482422,72722900,0.005457140252541404,0.005442304013822267,0.0270048730920871
2015-04-13,174.40391540527344,209.08999633789065,210.6300048828125,209.02999877929688,209.8699951171875,74436600,-0.004523123295326115,-0.004533383568174519,0.02235960342619081
2015-04-14,174.73760986328125,209.4900054931641,209.7100067138672,208.1000061035156,208.8500061035156,75099900,0.0019133426977966383,0.0019115145891511584,0.02431572770792867
2015-04-15,175.52162170410156,210.42999267578125,211.0399932861328,209.9499969482422,210.0500030517578,99529300,0.004486795037620839,0.0044767593801941525,0.028911622431965656
2015-04-16,175.47164916992188,210.3699951171875,210.97999572753903,209.7899932861328,210.02999877929688,68934900,-0.00028470870821795113,-0.0002847492454366007,0.02861868233307252
2015-04-17,173.45306396484375,207.9499969482422,209.22999572753903,207.00999450683597,208.94000244140625,191113200,-0.011503768355897726,-0.01157044857488538,0.01678569128496421
2015-04-20,175.03782653808594,209.8500061035156,210.25,208.9600067138672,209.05999755859372,92189500,0.009136549894347201,0.009095064122118017,0.026075604485247705
