Metric,QQQ,SPY
Annualized Volatility,0.2196307229879843,0.1777626504870311
Sharpe Ratio,0.710219709213012,0.5821853206133956
Maximum Drawdown,-0.351187129263287,-0.3371725431713012
Beta (vs SPY),1.1536534777874647,1.0
Alpha,0.03659354033814799,0.0
